Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,7.475353514918e-03,2.311188909061e-01,7.613755662963e-01,3.010736224508e-05,-4.927064272078e+00
2.312500000000e-04,3.000714581543e+02,7.444248744296e-03,2.311224091169e-01,7.613986147941e-01,3.463179756300e-05,-3.475895860507e-03
4.625000000000e-04,3.001519732103e+02,7.411728546709e-03,2.311258690365e-01,7.614224567558e-01,3.983422465346e-05,1.910246820530e-04
6.937500000000e-04,3.002427033242e+02,7.377730714981e-03,2.311292339170e-01,7.614470896492e-01,4.581573376958e-05,2.225343861419e-04
8.093750000000e-04,3.002923880956e+02,7.360152810257e-03,2.311308640554e-01,7.614597002486e-01,4.914248511526e-05,2.138081323578e-04
9.250000000000e-04,3.003452288509e+02,7.342176505814e-03,2.311324494741e-01,7.614725042127e-01,5.271812762852e-05,2.042295741302e-04
1.040625000000e-03,3.004014275781e+02,7.323793132229e-03,2.311339827398e-01,7.614854990792e-01,5.656115530285e-05,1.957579146928e-04
1.156250000000e-03,3.004611996973e+02,7.304993886184e-03,2.311354557184e-01,7.614986818186e-01,6.069145795551e-05,1.886102076327e-04
1.271875000000e-03,3.005247741716e+02,7.285769770271e-03,2.311368595660e-01,7.615120488728e-01,6.513035149467e-05,1.829094248168e-04
1.387500000000e-03,3.005923951568e+02,7.266111658089e-03,2.311381846196e-01,7.615255960242e-01,6.990075258388e-05,1.786824133596e-04
1.503125000000e-03,3.006643222158e+02,7.246010220486e-03,2.311394203844e-01,7.615393184403e-01,7.502722021535e-05,1.760690563830e-04
1.618750000000e-03,3.007408320902e+02,7.225456006053e-03,2.311405554097e-01,7.615532105244e-01,8.053614738147e-05,1.751426492695e-04
1.734375000000e-03,3.008222190524e+02,7.204439351761e-03,2.311415772699e-01,7.615672659678e-01,8.645581740532e-05,1.761006242858e-04
1.850000000000e-03,3.009087967908e+02,7.182950481211e-03,2.311424724254e-01,7.615814775806e-01,9.281661258745e-05,1.790815421841e-04
1.965625000000e-03,3.010008988901e+02,7.160979408492e-03,2.311432261960e-01,7.615958373446e-01,9.965108366333e-05,1.843484039375e-04
2.081250000000e-03,3.010988809026e+02,7.138516006297e-03,2.311438226106e-01,7.616103362596e-01,1.069941850015e-04,1.921635098872e-04
2.196875000000e-03,3.012031212616e+02,7.115549980682e-03,2.311442443386e-01,7.616249643209e-01,1.148833894881e-04,2.028548736749e-04
2.312500000000e-03,3.013140228945e+02,7.092070876647e-03,2.311444725735e-01,7.616397104394e-01,1.233588792424e-04,2.168142865450e-04
2.428125000000e-03,3.014320148030e+02,7.068068080023e-03,2.311444869149e-01,7.616545623669e-01,1.324637343938e-04,2.345074714247e-04
2.543750000000e-03,3.015575537422e+02,7.043530819839e-03,2.311442652432e-01,7.616695066178e-01,1.422441340142e-04,2.564863027260e-04
2.659375000000e-03,3.016911260048e+02,7.018448171160e-03,2.311437835838e-01,7.616845283871e-01,1.527495698579e-04,2.834031097172e-04
2.775000000000e-03,3.018332493156e+02,6.992809058497e-03,2.311430159618e-01,7.616996114633e-01,1.640330735517e-04,3.160275212440e-04
2.890625000000e-03,3.019844748435e+02,6.966602259777e-03,2.311419342456e-01,7.617147381388e-01,1.761514579074e-04,3.552661457536e-04
3.006250000000e-03,3.021453893357e+02,6.939816410982e-03,2.311405079795e-01,7.617298891148e-01,1.891655730158e-04,4.021857084131e-04
3.121875000000e-03,3.023166173822e+02,6.912440011440e-03,2.311387042040e-01,7.617450434025e-01,2.031405777951e-04,4.580400842376e-04
3.237500000000e-03,3.024988238164e+02,6.884461429902e-03,2.311364872635e-01,7.617601782207e-01,2.181462276462e-04,5.243020436952e-04
3.353125000000e-03,3.026927162588e+02,6.855868911380e-03,2.311338185995e-01,7.617752688887e-01,2.342571788677e-04,6.027003478901e-04
3.468750000000e-03,3.028990478109e+02,6.826650584894e-03,2.311306565306e-01,7.617902887153e-01,2.515533104414e-04,6.952632717374e-04
3.584375000000e-03,3.031186199060e+02,6.796794472098e-03,2.311269560164e-01,7.618052088845e-01,2.701200637930e-04,8.043694667304e-04
3.700000000000e-03,3.033522853247e+02,6.766288496616e-03,2.311226683936e-01,7.618199982978e-01,2.900488010326e-04,9.328075964269e-04
3.757812500000e-03,3.034747426962e+02,6.750786765779e-03,2.311202842772e-01,7.618273314641e-01,3.005614746698e-04,1.005339442419e-03
