Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
0.000000000000e+00,3.000000000000e+02,3.001644809687e-02,3.072519904361e-10,1.700102398957e-09,2.259180504336e-01,3.675313200680e-08,7.440652239321e-01,-2.322753228499e+03
6.400000000000e-03,3.000071793894e+02,3.001616012817e-02,7.659936112111e-09,3.261484040370e-08,2.259176029767e-01,6.484353632610e-07,7.440641563953e-01,-5.996968160641e-04
8.000000000000e-03,3.000278773638e+02,3.001544209588e-02,3.693235259117e-08,1.281975365651e-07,2.259166228185e-01,2.391909211443e-06,7.440628262712e-01,2.400497046831e-04
9.600000000000e-03,3.001357379219e+02,3.001193651209e-02,2.409088062256e-07,6.581764884388e-07,2.259118141162e-01,1.138677755903e-05,7.440588398092e-01,1.959408628088e-03
1.000000000000e-02,3.002336394092e+02,3.000887536752e-02,4.820324882015e-07,1.166859827735e-06,2.259073952809e-01,1.947780052199e-05,7.440563391399e-01,4.632396689093e-03
1.040000000000e-02,3.004344642044e+02,3.000273058232e-02,1.082478128433e-06,2.252809374931e-06,2.258980696841e-01,3.596832877427e-05,7.440521286355e-01,1.358839228249e-02
1.060000000000e-02,3.006139731754e+02,2.999733011864e-02,1.717956208637e-06,3.257527799520e-06,2.258894748800e-01,5.062559739349e-05,7.440488866390e-01,2.565984387804e-02
1.080000000000e-02,3.008875104509e+02,2.998920249433e-02,2.825196185394e-06,4.830420341860e-06,2.258760242479e-01,7.286037578766e-05,7.440444449999e-01,5.198786436126e-02
1.100000000000e-02,3.013044069023e+02,2.997696336565e-02,4.755470020948e-06,7.293531659610e-06,2.258549365991e-01,1.065916105613e-04,7.440383360805e-01,1.105351491824e-01
1.120000000000e-02,3.019388368857e+02,2.995855456776e-02,8.113787399484e-06,1.114458292823e-05,2.258218897646e-01,1.576764909664e-04,7.440299232439e-01,2.448923402262e-01
1.130000000000e-02,3.023802555913e+02,2.994586600842e-02,1.072549623368e-05,1.388442547750e-05,2.257983146720e-01,1.930744551774e-04,7.440245197032e-01,3.718447705283e-01
1.140000000000e-02,3.029364768362e+02,2.992998566758e-02,1.430090484739e-05,1.739408713401e-05,2.257680437254e-01,2.375372818131e-04,7.440180946778e-01,5.724119595787e-01
1.160000000000e-02,3.044808498242e+02,2.988629439622e-02,2.539209715690e-05,2.735882617799e-05,2.256817991619e-01,3.604183283099e-04,7.440016385187e-01,1.368761976464e+00
1.180000000000e-02,3.068186953147e+02,2.982088284316e-02,4.457134217127e-05,4.285834604674e-05,2.255470407462e-01,5.452507202280e-04,7.439791423139e-01,3.271580490319e+00
1.190000000000e-02,3.084343334838e+02,2.977608337612e-02,5.936297240332e-05,5.381056949535e-05,2.254514287377e-01,6.722320836214e-04,7.439648665979e-01,5.111618873911e+00
